187	museum baroque librarian architecture library architect cathedral renaissance decorative regent architectural sculptor catalogue archive monument airport skyscraper heathrow romanesque island cornish arched angeles gothicmed arch designer ornate archcathedral chancel tidal painter masonry basilica sculpted amphitheater mount spire antiquity sculpture curatorial boulevard building cottage mansion terrace biographical theatre decorated interlibrary antique exhibit aquarium monograph city historian manor harbour exhibition anthropology,urban,construction heritage pavilion park
270	athletics athlete olympic competed athletic olympics medalist runner sprinter running stadium marathon olympian competing sportsperson sporting rugby ran medal balance volleyball sportswoman cricket sportswear track fifa football tennis racecourse commonwealth ultramarathoner activist brand jog trophy run branded race,nfl wimbledon activism sport camp sportspeople trail polo jones fastest semifinal manufacturer participate captured corporation autobiography trademark cup england imprisoned shoe volunteering fitness walk
359	baseball stadium outfielder hitter pitcher mlb ncaa baseball conference collegiate bcs astros batting divisional pitching mets bowl playoff championship athletic inning outfield arena baseman ucf intercollegiate batted sporting cricket athletics catcher batter infield cub
365	fiba nba basketball athlete athletic coached teammate coach player
400	arts entertainment sculpture architect museum sculptor monument designer novelist poet plutarchian plutarch plutarchus writer architecture author statue emperor sculpted memorial poetry artwork olympics antiquity mythologically olympic publisher art medal novel architectural exhibited sculpt painting sculpting screenwriter magazine creator detective fiction biography publication comic
404	sports games golfer golf competed athlete tournament racing golfing raced olympic olympics sportsman competing swing skater tennis skating norman wrestler sportswoman wwe cycling cyclist motorsport cyclingnews wrestle wrestled wwf wimbledon racquet racer surfer supercars amateur volleyer sport elite retired
480	covid-19 pandemic covid epidemic coronavirus outbreak influenza coronaviruses pharmacology vaccine vaccination disease virus antiviral fda cdc vaccinate vaccinated flu vaccinating inhaled fever illness immunisation pneumonia asthma inhaler disinformation fraudulent immunization infects crisis inflammation injection epidemiology epidemiological medication immunity swelling health diabetes pulmonary regulates banning pharmaceutical
517	canada canadian minister quebec ontario alberta provincial politician mackenzie conservative albertan ndp philippe pierre macdonald calgary mulroney maclean quebecois governor edmonton québec manitoba fiscal trudeauisms mcgill province trudeaumania parliamentary statesman mulroneys liberal mcguinty progressive albertans liberalism quebecer diplomat canadahistory partisan pearson democrat quebecor quebecers mclean campbellton tuppers brunswick moderate jean ministerial constituency ministry cattleman winnipeg campbell chancellor diplomatic
568	catholism papacy jesuit pope papal catholic saint apostle benedictine protestant ignatius vatican cathedral lutheran architecture spire university boniface benedictus gothic institution pontifical pius reformation pontificalis cornish apostleship arched loyola bishop germanicum sandhurst limbaugh priest gothicmed westphalia archbishop constantine arch conservative theologian germaniae ecclesiastical catholicism architect bonifacian prelate catholicae archdiocese war devonian theological christliches building curriculum
596	chemist chemistry molecular molecule crystallography crystallographic crystallographer crystalline nobel polyethylene scientist tannin polyethene crystal biologist polymethylene polypropylene biology polychlorinated polymer tannoids thermoplastic polymerization tannosome chlorinated polymeric polyurethane polymerizes toxicity crystalization polythene polyvinyl organochlorine ethylene phytochemical propylene pollutant crystallization plastic polystyrene tanning contaminated carcinogenic aquaporins toxicant aquaporin pesticide ecologist chlorination poly benzene methylene toxicological polyphenols astringent polluted contamination polyphenolic pandit bioplastics ecofeminist chloracne pollution gallotannins polybrominated membrane toluene tannum xylene harmful dorothy ammonia tannery biomolecules biochemistry polyphenol insulin biomolecular astringency crystallizing phenolic chemical nanocrystalline acidity crystallized structural mineralogy medicine tannic botanical praphulla ethylamines triethylamine tannase laboratory pharmacologist crystallinity krishnanagar formaldehyde ethylenediamine diffraction diethylamine biography mineral ethylamine crystallize penicillin scientific glucose biochemist diethylenediamine biomedical medical researcher biotechnology benzidam science doctor hydrazobenzene biophysicist feminist profession discovered protein economist
