topic_id	nDCG	AWRF	Score	median	min	max
187	0.5487610697746277	0.49976928128531095	0.27425392543862404	0.31281877825659926	0.27425392543862404	0.4134141637550896
270	0.624967098236084	0.46045209333138604	0.28776740864604683	0.17049131470141315	0.05455747341361031	0.38907418979509995
359	0.7900737524032593	0.4813275106635886	0.38028423248490123	0.45362191970850324	0.38028423248490123	0.5233537631882254
365	0.6016083359718323	0.46845205206010476	0.28182465952246977	0.3575598496771326	0.17529000175662765	0.3832884900054575
400	0.07482252269983292	0.34040634619422827	0.025470061565284828	0.16443692575600732	0.003379344499766366	0.2521675091229893
404	0.03819391503930092	0.31751266730219596	0.012127051838841892	0.0248588791704231	0.006171377821590971	0.3848513796847834
480	0.7254926562309265	0.698134172355164	0.5064912151075274	0.27563869259327856	0.10947365381467937	0.6285768624209049
517	0.5913758873939514	0.46981839583122287	0.27783927074869214	0.23176379500827812	0.0860676480508328	0.44654550028858536
568	0.2431906759738922	0.4250674354782382	0.10337243696844156	0.28504907297610543	0.10337243696844156	0.3678282676411363
596	0.3186658024787903	0.6016545204400378	0.19172672057101636	0.22516891381227297	0.1778802744193214	0.4412974472305153
715	0.5675668716430664	0.5997999977531154	0.340426608336254	0.35612235506320317	0.3215811710077239	0.38783806688558403
807	0.6208421587944031	0.5847943230529355	0.36306496997489607	0.20601542481249033	0.1527543053823013	0.4742899895873464
834	0.4729076623916626	0.5697302754469427	0.2694298127553717	0.19782754909140093	0.056138618937483786	0.3883221695672753
881	0.8284804224967957	0.5419895901647687	0.4490277646485727	0.29834267349933113	0.21985746058754924	0.4490277646485727
883	0.3859890103340149	0.5704783954366468	0.2201983912715281	0.29849441527794096	0.15970986480570032	0.35501519969708556
949	0.47912052273750305	0.46236114880232626	0.221526715307683	0.33930161851413815	0.20394992290692193	0.3789198923446737
951	0.24175463616847992	0.6035083403028038	0.1459009392345475	0.0766490055305738	0.058707211108393234	0.15816532564520652
955	0.8172587156295776	0.49960291620650565	0.40830483762372033	0.21369072360309413	0.05847255831007119	0.5315976023958295
995	0.7676839232444763	0.6458610756071415	0.4958171643929877	0.37981139179646756	0.3383241155240403	0.7395545824923425
1018	0.30828553438186646	0.3502995576451925	0.1079922863223796	0.34032579082176334	0.1079922863223796	0.37950610142805236
1180	0.49766555428504944	0.4976416605293771	0.24765911282268485	0.4231623311178838	0.24765911282268485	0.46876231622786685
1233	0.6000712513923645	0.45174654596276165	0.2710801151480527	0.4634238957563338	0.2710801151480527	0.510709475701586
1328	0.3102990388870239	0.4739299098602705	0.1470599955294558	0.3305463333014799	0.1445151917315349	0.38436726183877545
1406	0.8144453763961792	0.6977949913643657	0.5683159043891195	0.4653294844232696	0.3581554147057647	0.6653416629024579
1417	0.47274723649024963	0.4222814917458355	0.1996324082438239	0.14081715289239305	0.07395197916636384	0.2976092167976073
1448	0.7636975049972534	0.5060612683176711	0.386477727989951	0.45240504799947723	0.32722677079213247	0.48738439075965845
1479	0.5381988286972046	0.5939933200619179	0.31968650911128793	0.33655571796597905	0.2503062689240133	0.4741592605179158
1548	0.6270378232002258	0.47071490441195474	0.29515604901037445	0.2648549043205048	0.15895962397997482	0.37493083873821204
1558	0.4926733672618866	0.6839227990330288	0.33695054834677685	0.22812298482434099	0.15028235143365365	0.37146101975982687
1647	0.22783304750919342	0.45783294699727184	0.10430947556450347	0.35815633130729696	0.10430947556450347	0.4786590347983424
1806	0.517946183681488	0.4931568007315944	0.2554286828955014	0.26620395485407594	0.1939448823133662	0.3173803047265509
1821	0.31518518924713135	0.4162357327548437	0.13119133819975382	0.07231331084118195	0.008537448140409363	0.14529261799420318
1877	0.9441078305244446	0.363140340405535	0.342843638956178	0.24022082468057465	0.12714247901994621	0.3455062607675154
1884	0.8489266633987427	0.5451669063269047	0.4628067227835141	0.08503363329833016	0.05075002637033534	0.4881495506323482
1890	0.37619510293006897	0.5746482242225552	0.2161798478599855	0.35734932380956386	0.11120615344984525	0.4326634422978892
2000	0.5064277052879333	0.5132371111453241	0.2599174924659345	0.2909523943686532	0.19943544288500603	0.35817455769702333
2028	0.2846054434776306	0.48863295081654134	0.13906759766492502	0.2090336240928641	0.131049127401985	0.29082638174208697
2106	0.4757227301597595	0.5276578307713997	0.25101882384474666	0.1996531278667951	0.08836185432549899	0.4481193101490304
2153	0.3756590187549591	0.45795857943860485	0.1720362705823213	0.3883397372183939	0.1720362705823213	0.5147006555603331
2160	0.6460445523262024	0.6152620252225962	0.3974866796482448	0.3185485453471873	0.2360510942056599	0.48882102349565637
2229	0.5500216484069824	0.5249801127230823	0.2887504269808332	0.3613083421454401	0.26728681791131526	0.4332916707432173
2244	0.33663707971572876	0.6230155176183407	0.20973012446862138	0.2429924381416142	0.07556075970105712	0.46694009627300126
2448	0.6345621347427368	0.5358618459364446	0.3400376368846138	0.20148497034855983	0.13070877018294888	0.36053536796203023
2483	0.6929184794425964	0.5679743160973992	0.3935598994726585	0.18191308540097692	0.0834252741013782	0.3935598994726585
2758	0.37616896629333496	0.481874824188425	0.18126635449774234	0.29583174343438146	0.18126635449774234	0.33060419021125603
2867	0.6782240271568298	0.4941340711819635	0.3351335997124309	0.26451667748370894	0.07153595125852771	0.45804925703917065
2872	0.3775072693824768	0.4012937807691008	0.15149131939831353	0.07078942144300764	0.025758757381912554	0.2531709728986643
