0.1379	0.9289
0.3800	0.8624
0.4963	0.8928
0.7397	0.7402
0.7521	0.8010
0.7539	0.7340
0.1317	0.5211
0.2812	0.8134
0.1389	0.7490
0.3511	0.8629
0.5402	0.6500
0.4090	0.5985
0.4693	0.7716
0.5180	0.6041
0.4198	0.6216
0.2654	0.7356
0.6338	0.7871
0.6300	0.7170
0.7509	0.7557
0.4751	0.6799
0.1252	0.6902
0.3695	0.8268
0.2959	0.7046
0.4619	0.7515
0.5739	0.8361
0.0000	0.7510
0.2060	0.7964
0.5393	0.8201
0.0636	0.7294
0.1628	0.7186
0.2930	0.8294
0.1223	0.8680
0.6794	0.5608
0.7714	0.7309
0.6477	0.4196
0.5025	0.5206
0.3485	0.5639
0.6478	0.8010
0.4554	0.6242
0.9724	0.8031
0.3299	0.6686
0.2292	0.6149
0.3773	0.7830
0.5553	0.8108
0.3842	0.7979
0.0000	0.7062
0.0666	0.5691
0.3830	0.6227
1.0000	0.7639
0.6771	0.6273
0.5961	0.8201
0.0879	0.8119
0.9337	0.6165
0.1564	0.6985
0.8553	0.6557
0.4519	0.7613
0.1629	0.7794
0.7713	0.7227
0.8164	0.6180
0.6114	0.8077
0.2110	0.8082
0.5839	0.6990
0.5331	0.7912
0.6106	0.7907
0.6867	0.8722
0.9773	0.7649
0.0000	0.8057
0.6021	0.7655
0.6541	0.7902
0.4630	0.8289
0.4923	0.8263
0.7857	0.8526
0.5576	0.7897
0.2662	0.6546
0.3442	0.7046
0.9171	0.8253
0.6834	0.6418
0.1363	0.8356
0.7190	0.7021
0.4976	0.6258
0.9436	0.8077
0.1909	0.7665
0.4556	0.7418
0.7045	0.7572
0.1713	0.4134
0.9218	0.8196
0.8812	0.8376
0.3474	0.8010
0.0000	0.7954
0.2520	0.6644
0.4103	0.5541
0.7737	0.7881
0.0784	0.8010
0.9739	0.8438
0.0767	0.7201
0.0784	0.8304
0.4229	0.6340
